modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.74;0.7368421052631579;0.9859154929577465;0.8433734939759037;8.670004424896257e-06;8.815638777500567e-08;0.24880123138427734;1.1716222195805754e-05;0.0001829826956876449;1.8605634653235947e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.67;0.6907216494845361;0.9571428571428572;0.8023952095808383;7.65243035398673e-06;7.780972011618671e-08;0.2596316337585449;1.142153784177124e-05;0.00015006802928608975;1.5258879619930222e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;3;0.7;0.6979166666666666;0.9852941176470589;0.8170731707317073;7.045487301696816e-06;7.163833836678748e-08;0.25711894035339355;1.006498185956688e-05;0.00014411257675495657;1.4653330698637144e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;4;0.75;0.7448979591836735;1.0;0.8538011695906432;7.542001129039927e-06;7.66868785236093e-08;0.27033138275146484;1.005600150538657e-05;0.0001463454678801871;1.488037050882449e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.7;0.7303370786516854;0.9154929577464789;0.8125;4.988840146762632e-06;5.0726401622428846e-08;0.2775850296020508;7.126914495375189e-06;0.00012763844623432414;1.2978245234709819e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;6;0.63;0.6262626262626263;1.0;0.7701863354037267;7.845923177215139e-06;7.97771502950252e-08;0.27886128425598145;1.2453846313039903e-05;0.0001358533902114563;1.3813538680141569e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;7;0.76;0.7849462365591398;0.948051948051948;0.8588235294117647;6.419224334448046e-06;6.527051220612566e-08;0.27947092056274414;8.446347808484272e-06;0.00015282092056897174;1.55387929158673e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;8;0.66;0.6847826086956522;0.9264705882352942;0.7875;6.2890811245459045e-06;6.394721930843438e-08;0.2874445915222168;9.528910794766522e-06;0.0001358398213651917;1.3812159003252908e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;9;0.75;0.7604166666666666;0.9733333333333334;0.8538011695906432;7.626302141876081e-06;7.754404911005899e-08;0.2864556312561035;1.0168402855834774e-05;0.00012953583993504332;1.317117175082801e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;10;0.69;0.6808510638297872;0.9846153846153847;0.8050314465408805;6.92549980839943e-06;7.041830854109316e-08;0.28783106803894043;1.0036956244057147e-05;0.00012849588299874317;1.306542919009468e-06;{'metric': 'manhattan', 'n_neighbors': 30}
LR;1;0.71;0.71;1.0;0.8304093567251462;2.661580980280046e-05;2.706288872452969e-07;0.24906444549560547;3.748705606028234e-05;6.432212838725341e-05;6.540257899220464e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.67;0.7032967032967034;0.9142857142857143;0.7950310559006211;5.143971694331098e-06;5.230377531145623e-08;0.2572619915008545;7.67756969303149e-06;6.64736031590298e-05;6.759019314986558e-07;{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}
LR;3;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;1.1798376440594038e-05;1.199655960527315e-07;0.2998976707458496;1.7350553589108878e-05;7.241981268764872e-05;7.363628410099718e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.76;0.7525773195876289;1.0;0.8588235294117647;9.57293049068087e-06;9.733731739009304e-08;0.30255913734436035;1.2595961171948513e-05;7.199344319421984e-05;7.320275266830015e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.7;0.7252747252747253;0.9295774647887324;0.8148148148148148;4.007209587222592e-06;4.074520668669004e-08;0.2693495750427246;5.724585124603703e-06;6.75093824396028e-05;6.864337092732215e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;6;0.65;0.6551724137931034;0.9193548387096774;0.7651006711409396;9.770257898977616e-06;9.934373753383512e-08;0.30995869636535645;1.5031165998427102e-05;6.837026141747387e-05;6.951871051518473e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.73;0.7906976744186046;0.8831168831168831;0.8343558282208589;1.5099442261635699e-05;1.5353075061654225e-07;0.31537771224975586;2.068416748169274e-05;7.511388517954556e-05;7.637561026105824e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;8;0.74;0.7386363636363636;0.9558823529411765;0.8333333333333334;5.6752310404988e-06;5.770560703317607e-08;0.2847161293029785;7.66923113580919e-06;6.466366896078867e-05;6.574985659168327e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;6.74315134194329e-06;6.85641939027056e-08;0.31807756423950195;8.87256755518854e-06;7.115339883239451e-05;7.234859766583409e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;10;0.65;0.65;1.0;0.7878787878787878;6.856012992572724e-06;6.971176833868226e-08;0.3250863552093506;1.0547712296265728e-05;6.310469779235443e-05;6.416469861344859e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LightGBM;1;0.71;0.7333333333333333;0.9295774647887324;0.8198757763975155;7.727639949767121e-05;7.857444940178876e-07;0.29152894020080566;0.00010883999929249468;0.004145735780363349;4.2153737547925214e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;2;0.69;0.7010309278350515;0.9714285714285714;0.8143712574850299;3.103487066118129e-05;3.1556178733864734e-07;0.2847597599029541;4.497807342200187e-05;0.00392560597251871;3.9915463176868977e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;3;0.71;0.7052631578947368;0.9852941176470589;0.8220858895705522;7.135537263186547e-05;7.25539641191132e-07;0.30042123794555664;0.00010050052483361334;0.004824783090475079;4.905827358436448e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;4;0.76;0.7525773195876289;1.0;0.8588235294117647;4.4547058870605106e-05;4.52953378519188e-07;0.29181599617004395;5.861455114553303e-05;0.004262197279478792;4.333791515311742e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;5;0.68;0.7191011235955056;0.9014084507042254;0.8;8.061684110980266e-05;8.197100206389826e-07;0.3145897388458252;0.00011855417810265096;0.005114077809044849;5.199981503482378e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;6;0.72;0.6976744186046512;0.967741935483871;0.8108108108108109;4.2403672151726205e-05;4.3115947606180303e-07;0.29026007652282715;5.8893989099619733e-05;0.004840773056036864;4.9220859153585874e-05;{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;7;0.75;0.776595744680851;0.948051948051948;0.8538011695906432;4.06162532989963e-05;4.1298504594904114e-07;0.30147266387939453;5.415500439866173e-05;0.004040270223668961;4.108136640977916e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;8;0.67;0.7108433734939759;0.8676470588235294;0.7814569536423841;0.00010844076538778616;1.1026229855999732e-06;0.31900572776794434;0.0001618518886384868;0.004754911419149339;4.8347820180881554e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;9;0.78;0.7789473684210526;0.9866666666666667;0.8705882352941177;4.967655112361313e-05;5.051099272340376e-07;0.32194066047668457;6.368788605591427e-05;0.004907145077358951;4.989572820351151e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;10;0.69;0.6888888888888889;0.9538461538461539;0.8;8.006582877549787e-05;8.14107341028774e-07;0.3318943977355957;0.00011603743300796793;0.004918198847442105;5.0008122660777084e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
MLP;1;0.76;0.7640449438202247;0.9577464788732394;0.85;0.00046531384067060336;4.731299474016791e-06;0.5522234439849854;0.0006122550535139518;0.004531986789650892;4.608112813327055e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'max_iter': 300}
MLP;2;0.69;0.7142857142857143;0.9285714285714286;0.8074534161490683;0.00047145720992339984;4.7937650986639264e-06;0.5486705303192139;0.000683271318729565;0.004473956487235723;4.549107747219794e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'max_iter': 300}
