modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.71;0.7282608695652174;0.9436619718309859;0.8220858895705522;6.7323470875806116e-06;6.845433651503448e-08;0.21800017356872559;9.482178996592412e-06;0.00015830162355804736;1.6096069422667197e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.66;0.7;0.9;0.7875;6.737304305762964e-06;6.850474138531504e-08;0.22454023361206055;1.0208036826913582e-05;0.0001323169446457582;1.345395378103858e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;3;0.67;0.6804123711340206;0.9705882352941176;0.8;5.044423854584879e-06;5.129157537097732e-08;0.22707295417785645;7.528990827738625e-06;0.00011806401142028921;1.200471910158714e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;4;0.74;0.7373737373737373;1.0;0.8488372093023255;7.106525510534806e-06;7.225897334500758e-08;0.2323141098022461;9.603412852074062e-06;0.00013933929349726682;1.4167984452888396e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.71;0.71;1.0;0.8304093567251462;7.044959036222306e-06;7.163296697667777e-08;0.2357778549194336;9.922477515806065e-06;0.00012861311455948033;1.3077349265819369e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;6;0.6;0.6195652173913043;0.9193548387096774;0.7402597402597403;5.905986591142155e-06;6.005192369079346e-08;0.23134803771972656;9.843310985236925e-06;0.00011876722896317504;1.2076222085164419e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;7;0.76;0.7731958762886598;0.974025974025974;0.8620689655172413;1.0729685286157366e-05;1.0909917116929032e-07;0.2396390438079834;1.4118006955470218e-05;0.00012100343803230351;1.2303599263056036e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;8;0.7;0.7021276595744681;0.9705882352941176;0.8148148148148148;6.6011218635570305e-06;6.712004172486507e-08;0.24598097801208496;9.430174090795758e-06;0.00012676013395111855;1.288893866180487e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;9;0.74;0.7578947368421053;0.96;0.8470588235294118;1.1906152836129619e-05;1.210614637423193e-07;0.24808478355407715;1.6089395724499486e-05;0.00014839972754309772;1.508924711667728e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;10;0.65;0.65;1.0;0.7878787878787878;6.617724456405346e-06;6.72888564729872e-08;0.2553584575653076;1.0181114548315916e-05;0.00012157247730457125;1.2361459033693746e-06;{'metric': 'euclidean', 'n_neighbors': 50}
LR;1;0.71;0.71;1.0;0.8304093567251462;5.8845258804334674e-06;5.983371172198181e-08;0.22896385192871094;8.288064620328827e-06;6.14721288650966e-05;6.250470661843311e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.68;0.7065217391304348;0.9285714285714286;0.8024691358024691;9.656710089644845e-06;9.818918625335385e-08;0.2651047706604004;1.4201044249477712e-05;6.648982045216117e-05;6.760668285289093e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.67;0.6842105263157895;0.9558823529411765;0.7975460122699386;5.747200609984936e-06;5.84373918125934e-08;0.2560276985168457;8.57791135818647e-06;6.501749603051772e-05;6.61096270697093e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.75;0.75;0.9863013698630136;0.8520710059171598;7.701594978109705e-06;7.8309624782504e-08;0.26404738426208496;1.0268793304146273e-05;6.327182055306969e-05;6.433462861783635e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.69;0.7127659574468085;0.9436619718309859;0.8121212121212121;7.643809752088644e-06;7.772206605206657e-08;0.2513704299926758;1.1077985147954557e-05;9.787133922934179e-05;9.951533252261538e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.63;0.6344086021505376;0.9516129032258065;0.7612903225806451;9.31625458385961e-06;9.472744320026447e-08;0.26815080642700195;1.478770568866605e-05;7.234253371180834e-05;7.35577070319766e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.73;0.7717391304347826;0.922077922077922;0.8402366863905325;7.913438261209957e-06;8.0463641977569e-08;0.24291253089904785;1.0840326385219119e-05;6.130360985267638e-05;6.233335690880992e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;8;0.68;0.68;1.0;0.8095238095238095;5.7232487867495245e-06;5.8193850274022084e-08;0.25164198875427246;8.416542333455182e-06;6.419537788301687e-05;6.527369939705624e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;7.72607916522335e-06;7.855857938365141e-08;0.2518892288208008;1.0165893638451775e-05;6.4229403768109e-05;6.530829683176984e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
